pot.no,genotype,stake,treatment,nodes.6.10,br.6.10,analyze6.17,wetmass6.17,nodes6.17,branches6.17,flrs6.17,BCA.lf.wt.mass.6.17,HL.lf.wt.mass.6.17,Bates.lf.wt.mass.6.17,AGwt.mass.6.17,BCA.absorbance.6.18,AGdry.mass.6.21,spc,analyze7.1,nodes7.1,branches7.1,flrs7.1,drplvs7.1,BCA.beta.lf.wt.mass.7.1,Bates.lf.wt.mass.7.1,beta.stem.wt.mass.7.1,AGwt.mass.7.1,env.6.17,AGdry.mass.7.8,env.7.8
59,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.59,1,8,3,0,1,264.2,178.2,155.3,8.1879,NA,4.163,3.746
60,T-16,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.60,1,7,4,0,2,256.7,160.6,157.5,9.0213,NA,4.276,3.808
91,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.91,1,10,6,2,0,248,140.1,168.8,14.1678,NA,4.65,3.821
92,T-16,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.92,1,9,8,1,0,257,164.8,154.7,14.626,NA,4.626,3.822
93,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.93,1,10,5,1,2,250.8,142,151,15.3331,NA,4.698,3.794
94,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.94,1,10,4,2,1,253.1,147.5,143.5,13.9183,NA,4.643,3.794
96,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.96,1,10,2,1,0,243,145.5,179.4,14.7401,NA,4.668,3.802
97,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.97,1,10,5,2,2,261.5,140.3,136.1,14.9453,NA,4.746,3.831
98,T-16,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.16.98,1,10,2,1,0,244,165.2,167.1,13.3181,NA,4.545,3.818
1,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.1,1,4,4,2,0,241.4,149.1,111.8,6.116,NA,3.856,3.809
10,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.10,1,5,8,3,0,253.2,151.8,147,6.4195,NA,4.113,3.764
11,WI-9,red,200 mM NaCl,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.11,1,5,8,3,0,236.8,143.9,168.7,6.2033,NA,4.095,3.775
12,WI-9,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.12,1,5,5,2,0,152.4,155.4,149,5.5686,NA,4.029,3.805
15,WI-9,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.15,1,5,6,3,0,244,167.7,137.6,6.5019,NA,4.166,3.822
17,WI-9,red,200 mM NaCl,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.17,1,5,8,4,0,243.8,171.7,156.2,6.854,NA,4.18,3.789
18,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.18,1,5,6,1,0,245.4,133.3,152.6,5.0669,NA,3.883,3.772
19,WI-9,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.19,1,5,8,2,0,260.8,157.3,168.5,6.2671,NA,4.077,3.759
2,WI-9,red,200 mM NaCl,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.2,1,5,10,4,0,219.8,154,152.8,8.0728,NA,4.358,3.852
20,WI-9,red,200 mM NaCl,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.20,1,5,8,3,0,268.5,152.3,141,6.3037,NA,4.098,3.774
22,WI-9,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.22,1,5,8,2,2,249.2,159.4,141.1,5.7447,NA,4.061,3.813
23,WI-9,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.23,1,5,4,2,0,257.3,160.3,144.3,5.8651,NA,4.101,3.823
24,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.24,1,5,4,1,0,237.4,161,152.4,4.8165,NA,3.917,3.775
28,WI-9,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.28,1,5,6,4,0,268.5,161.8,153.3,5.7795,NA,4.06,3.792
3,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.3,1,4,6,1,0,231.4,166.7,159,5.5394,NA,4.056,3.833
4,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.4,1,5,5,2,0,243.6,164.8,141.1,NA,NA,3.99,3.797
5,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.5,1,5,8,3,0,235.7,131.2,140,6.0236,NA,4.049,3.759
61,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.61,1,4,8,25,1,242.7,156.9,176,12.3453,NA,4.552,3.748
62,WI-9,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.62,1,4,8,24,0,253.3,142.8,158.2,12.4655,NA,4.376,3.838
64,WI-9,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.64,1,5,8,22,0,245.2,165.6,153,13.6394,NA,4.676,3.779
67,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.67,1,6,10,23,0,259.8,141.6,163.8,13.3121,NA,4.727,3.753
69,WI-9,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.69,1,5,10,20,0,260.1,154.1,166.7,14.2237,NA,4.824,3.814
7,WI-9,red,200 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.7,1,5,8,4,0,246.1,139.5,141.2,6.4791,NA,4.109,3.766
72,WI-9,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.72,1,4,10,23,0,253.6,160.8,144.2,13.6832,NA,4.716,3.8
74,WI-9,white,0 mM NaCl,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.74,1,5,10,18,0,251.2,157.8,170.9,12.8877,NA,4.81,3.801
