"Wavelength","T.16.100","T.16.101","T.16.107","T.16.108","T.16.110","T.16.111","T.16.112","T.16.113","T.16.116","T.16.117","T.16.119","T.16.120","T.16.31","T.16.32","T.16.33","T.16.35","T.16.36","T.16.37","T.16.38","T.16.39","T.16.40","T.16.42","T.16.43","T.16.45","T.16.46","T.16.48","T.16.49","T.16.55","T.16.56","T.16.59","T.16.60","T.16.91","T.16.92","T.16.93","T.16.94","T.16.96","T.16.97","T.16.98","WI.9.1","WI.9.10","WI.9.11","WI.9.12","WI.9.15","WI.9.17","WI.9.18","WI.9.19","WI.9.2","WI.9.20","WI.9.22","WI.9.23","WI.9.24","WI.9.28","WI.9.3","WI.9.4","WI.9.5","WI.9.61","WI.9.62","WI.9.64","WI.9.67","WI.9.69","WI.9.7","WI.9.72","WI.9.74","WI.9.75","WI.9.76","WI.9.78","WI.9.79","WI.9.8","WI.9.81","WI.9.82","WI.9.83","WI.9.84","WI.9.85","WI.9.86","WI.9.87","WI.9.88","WI.9.9"
420.692851983,0.152376507145,0.378061418681,0.274677039525,0.125123909233,0.305380788862,0.283655103965,0.270591096965,0.241327987148,0.432538410731,0.482309218263,0.160432692848,0.816118064447,0.75276122444,0.359942061103,0.821776078377,0.635609858554,0.459595319322,0.776551404129,0.767148321338,0.786891689499,0.678837115204,1.39282707317,0.861327884342,0.52318402638,0.764235467815,0.766266489781,0.542307147938,0.542333669738,0.841876527874,0.48956480614,1.01869968712,0.558711334859,0.279732866598,0.442483433702,0.336829536218,0.283489445921,0.230582719711,0.214972395128,0.382153644138,0.337264883284,0.548768637441,0.38793902985,0.443577193437,0.512918041301,0.31571853594,0.744100411261,0.553527792394,0.32033111622,0.49094496383,0.408895272889,0.696011632687,0.402764957506,0.610321982975,0.337325535858,0.392307308693,0.321185682092,0.248259378628,0.212808154838,0.146118398717,0.236055305332,0.473445602383,0.162780097086,0.179602018412,0.197285566894,0.157913636746,0.236343645231,0.143163870704,0.327940400644,0.177803306754,0.180584885208,0.138200791786,0.211223472272,0.0974003853928,0.143394907963,0.157071726233,0.0973670631394,0.304983921502
421.063374976,0.147119864662,0.366423614935,0.270348021922,0.122650935551,0.298435738427,0.27469582478,0.26931267111,0.234709151343,0.425539241664,0.479461475085,0.154312659214,0.806720759212,0.753371516122,0.35862964225,0.811653637371,0.625868464138,0.455423088885,0.770355443656,0.753158574474,0.773497149507,0.670255925531,1.38612561015,0.85545962771,0.517089988437,0.75411052324,0.757014750191,0.53646669876,0.535924148152,0.830478901572,0.482460713773,0.999442871043,0.55078067836,0.273116386349,0.433705495984,0.333532133479,0.281804535391,0.22600904595,0.209133110102,0.374321458613,0.333721193201,0.542763982517,0.382719266212,0.441110575594,0.514591840176,0.310169296929,0.736910633608,0.544494198077,0.316491939715,0.485906300775,0.404071593904,0.690244941141,0.397598760616,0.60152538406,0.334018453434,0.385038872637,0.313851686193,0.245216762125,0.206047771171,0.140286455488,0.232533780609,0.467674808637,0.158341896904,0.175156440287,0.193774223715,0.153739328366,0.232910579095,0.14070889234,0.322839486912,0.178065105692,0.174837785579,0.134854060159,0.205213028251,0.093551492419,0.137026427973,0.150804185876,0.0936898124164,0.306340285349
421.43386014,0.150253322357,0.365075254478,0.267532094424,0.124920812646,0.297831678613,0.273648280274,0.26554078335,0.236232468073,0.421551457599,0.474027224362,0.153980935852,0.796810473358,0.737408989083,0.355755888129,0.810423191372,0.621751733788,0.455865682362,0.76914513883,0.747233418222,0.765646345829,0.664470686071,1.3645104174,0.852642643637,0.511901806759,0.753596614902,0.752117170144,0.530261353945,0.53253139086,0.835141246476,0.479632069406,0.98981227382,0.546952582097,0.272435929507,0.430961528387,0.329391739279,0.27649426927,0.228028888683,0.210435106577,0.378159964354,0.333415099428,0.535984626257,0.378321299942,0.434399014598,0.511755512615,0.312003351872,0.735847427051,0.539205773599,0.316512991255,0.479632069406,0.40343572028,0.687757393947,0.394042748445,0.600186983311,0.334840238284,0.381340942249,0.313028022452,0.240443140862,0.206814221204,0.142885776735,0.22959614412,0.46336423473,0.157960256323,0.173414626073,0.19609389139,0.152274688758,0.231607961639,0.139765627694,0.32395010281,0.178915375324,0.176554203589,0.137204243128,0.205758519187,0.0956902676076,0.137115064912,0.15254823324,0.0959319464234,0.306267426238
421.804307459,0.150410716244,0.367101441326,0.268812703878,0.123149925279,0.294207015713,0.270939601874,0.261792952906,0.234423165818,0.417871904277,0.464773780564,0.154218725068,0.786432925628,0.737216214964,0.350572615811,0.798191962008,0.617976018229,0.447302224206,0.758911916426,0.746498773346,0.763069401295,0.662676864348,1.34500133372,0.841331190237,0.509939634488,0.743573275785,0.747323873743,0.529266522868,0.532341663332,0.822638709438,0.475301336299,0.984827648963,0.539172967087,0.272100250513,0.428458766307,0.326402616273,0.274202688115,0.225237491533,0.206552665754,0.375185866726,0.329054874776,0.536929403444,0.381976569034,0.432384959004,0.509543327196,0.310336592728,0.732706719134,0.536925267089,0.311336872468,0.48038449322,0.398938925722,0.681616238446,0.395027969827,0.598041906397,0.328998492866,0.378789183437,0.308942017934,0.238404991727,0.204710515446,0.140761719869,0.227580681751,0.460499962644,0.160866703934,0.172096386445,0.193381583404,0.154649051495,0.228295459643,0.140399703991,0.321874147335,0.177085359435,0.17344482824,0.136014797285,0.20197237874,0.0937623457448,0.136218608844,0.150891697383,0.0935342956943,0.307412896442
422.174716917,0.147730310588,0.36173753962,0.265501908343,0.120591655058,0.289850108812,0.270998268685,0.261342111479,0.229751998399,0.411481307093,0.456057735151,0.151631318853,0.775118706756,0.732055555264,0.347782486363,0.794833768903,0.614078218888,0.442787338414,0.750140355858,0.737732024135,0.750469302052,0.656873138266,1.34068770576,0.832550768347,0.506972676841,0.734243696289,0.743762245856,0.526674188722,0.523509345432,0.81807802819,0.474217596847,0.967277531709,0.532906388026,0.268294516624,0.415558991943,0.320985548531,0.273690415882,0.220050899646,0.204328365485,0.372163165101,0.329315138653,0.527969480518,0.37523126385,0.422793027097,0.505352746833,0.308297947363,0.718339623998,0.531449223028,0.311000214837,0.474447596177,0.396439148041,0.674677514637,0.390500257625,0.591210651626,0.328766465769,0.374303020365,0.303933189513,0.23738876242,0.201316440834,0.139457691634,0.225058840135,0.455416690257,0.157986439973,0.170814581754,0.190094144461,0.153070846549,0.227006519908,0.139460915221,0.321889851656,0.17415371964,0.174230543275,0.13562410149,0.200015570814,0.0932779569473,0.135330238409,0.146210113948,0.0947484822479,0.305465909159
422.545088496,0.142136664446,0.355714164483,0.256465133798,0.11756155664,0.285064466774,0.263834448808,0.256642620222,0.228385977143,0.404724836839,0.450804088941,0.147978384986,0.763700078273,0.721929028382,0.345056546828,0.784635410705,0.607580566084,0.435916618057,0.740882655445,0.728305681504,0.744909984607,0.652640568031,1.32947753196,0.832896485911,0.49958082387,0.7277675765,0.735050705704,0.519815728223,0.520350654865,0.813341346362,0.470203439174,0.954038908667,0.522083995322,0.262536454933,0.413187959059,0.317002242503,0.266580497006,0.2158592036,0.19900401314,0.36852526588,0.324720122108,0.525559792884,0.373270619177,0.417552580793,0.502630886508,0.303274750118,0.712608692968,0.518616478471,0.310503925422,0.470507646861,0.390021196023,0.668124810137,0.382233467177,0.588200172419,0.321847268923,0.366678031647,0.300032795563,0.231683684794,0.198011322705,0.135223653169,0.222540222216,0.45031526401,0.1560167684,0.168344867594,0.188646153697,0.150170842123,0.22646937911,0.136846976368,0.317524679438,0.170866574531,0.170294534475,0.132050613917,0.198992909083,0.0894209437643,0.134628036805,0.145250425484,0.091578952906,0.300214996444
422.91542218,0.142569162838,0.34824240173,0.256600760272,0.116375271145,0.284613960982,0.261670324524,0.252513470746,0.224166517937,0.394596895903,0.442415608005,0.143410010615,0.754072392045,0.717796601885,0.341977394768,0.779047893798,0.598871058549,0.431250758891,0.732401028803,0.723440630322,0.733694497521,0.640807359235,1.31198840565,0.821239963219,0.491570901508,0.724135789636,0.730814822886,0.514234821211,0.514595085284,0.801179252216,0.462066567882,0.945705100434,0.51470245578,0.257567093336,0.406874151519,0.312476840671,0.263696762443,0.211738113744,0.198255980995,0.364778929917,0.320666642004,0.51414671698,0.370700995463,0.414519629323,0.503193658785,0.299482833614,0.706574772311,0.514901928583,0.306243196087,0.46259008053,0.382374316187,0.660001360292,0.382167934033,0.58387291471,0.322126332861,0.36694863052,0.295346011101,0.22695912662,0.194267602865,0.133282274118,0.21969102894,0.444440006279,0.152182137356,0.164383972564,0.185479815449,0.146088410152,0.221620190533,0.132095124243,0.317847197025,0.169051463386,0.170576831825,0.132246122657,0.192863371008,0.0879779012771,0.132548277077,0.144107061566,0.0905770563805,0.298542253777
423.285717954,0.141087900287,0.34639510854,0.254675968515,0.117569359287,0.277701348113,0.259981377604,0.251843173407,0.222890027514,0.390171010256,0.439074848109,0.144929882156,0.747447480543,0.712593423049,0.338100473643,0.774246842751,0.597991029965,0.4308101672,0.726184302196,0.715525867035,0.732527774961,0.637878578481,1.29100710236,0.819576923547,0.490534628125,0.71605794583,0.725464334862,0.511557312668,0.511335728193,0.801439018652,0.460571874009,0.931476935175,0.509250992812,0.257506781996,0.40309307479,0.311487716781,0.262947118281,0.212613900025,0.198788962986,0.366705057122,0.32129675994,0.514243766715,0.367430761903,0.412444611709,0.50177933403,0.2992523541,0.708429135526,0.511387421126,0.307530152105,0.462963235267,0.383177415983,0.663450650816,0.380806320742,0.584229227658,0.321821474765,0.36001658324,0.289695264795,0.226306945182,0.196248986079,0.132071319159,0.216083414802,0.440816501532,0.154002986445,0.166363575561,0.185068211927,0.146133723087,0.219803465556,0.134012082325,0.313943892899,0.172026241745,0.168987567713,0.132085195096,0.192378964718,0.0890265057104,0.133669965173,0.144106451518,0.0912452447849,0.294823004963
423.655975801,0.136179575457,0.342916445737,0.249236778271,0.113826442563,0.273415769348,0.254355484524,0.248170173246,0.216942850868,0.38316247649,0.430672260869,0.141572692592,0.729197674816,0.704772317787,0.33511170069,0.760256829126,0.587424569427,0.424392611716,0.719860872822,0.711330968057,0.723303559855,0.63328168637,1.27287492272,0.813897141656,0.485084593213,0.70461190508,0.718374322097,0.507071393238,0.504223930457,0.795005371084,0.452818720226,0.925497515636,0.497701363002,0.249799203272,0.394995215434,0.304190768275,0.255335608738,0.205384027593,0.193840310347,0.358487077171,0.315986222282,0.497264066067,0.362163188823,0.405065118827,0.499172914988,0.295406865853,0.695738898242,0.506265254368,0.304464230514,0.456361713466,0.3758468434,0.650675621182,0.371885809985,0.57706192139,0.314700655637,0.353642864008,0.286613295807,0.220169359505,0.191691698859,0.129253777916,0.211763487407,0.433448995412,0.149292225505,0.161300611345,0.180350912105,0.144769349638,0.215874511849,0.129223323016,0.310642287659,0.167998184482,0.162321527275,0.128163301675,0.190422341839,0.0843500453544,0.126150767115,0.137231449666,0.0877178349048,0.292698351699
424.026195704,0.136856864523,0.337625315513,0.246805383565,0.113233551993,0.269734157627,0.255350952355,0.243719410407,0.217679094159,0.380063004049,0.420851773923,0.140820482049,0.716183461928,0.695757033512,0.336688828503,0.757648569064,0.587914039949,0.427219313307,0.713313569529,0.705718301931,0.717766851472,0.63125480247,1.28107988144,0.81121530232,0.481493860687,0.702899795787,0.715907679264,0.504253151701,0.500026032184,0.790903657512,0.450400292148,0.914722055789,0.493637550349,0.249375574414,0.389088645414,0.303895312032,0.255171980749,0.203791542011,0.191983127085,0.357654629826,0.311655545778,0.499694241724,0.361629962556,0.400253516016,0.49567013623,0.294310975527,0.693662014158,0.498540190078,0.303526250297,0.457311503249,0.374458854676,0.649459231804,0.370600842077,0.57603250522,0.314153455567,0.353972372299,0.278987216611,0.216533483697,0.188915347993,0.12854014801,0.212688982751,0.43170085623,0.150129851336,0.158647046906,0.179589267296,0.142720782318,0.216833709278,0.13086942522,0.312732426611,0.169149290947,0.165327003302,0.128226858313,0.187982702854,0.084864862367,0.128378278194,0.137886115588,0.0879504130155,0.293530614901
