"Wavelength","BCAcalicurve0.094","BCAcalicurve0.38","BCAcalicurve1.13","BCAcalicurve2.26","BCAcalicurve3.76"
380.082693897,0.16849660793,0.219266145732,0.246099712183,0.324182867932,0.329175480787
380.457242063,0.139914126179,0.190431387716,0.264491726216,0.338022959281,0.464675411352
380.831754184,0.156131013312,0.245837735924,0.211131061236,0.358229502741,0.456408114568
381.206230246,0.134373942684,0.184391568052,0.189806680599,0.321961956819,0.428515303245
381.580670231,0.103589717241,0.190135055981,0.239983567813,0.322981165735,0.417586655199
381.955074123,0.148440809229,0.211839175907,0.190326549481,0.331582043105,0.408361492091
382.329441906,0.0872944264232,0.194941657371,0.152434148817,0.269316285651,0.38292562236
382.703773563,0.123004045324,0.205942157665,0.199960329554,0.289171534184,0.41683014053
383.078069078,0.0985536700279,0.157027442425,0.19032729403,0.26144678152,0.390127254664
383.452328435,0.0873099896975,0.179488182764,0.179552129533,0.276366225918,0.350904947572
383.826551617,0.0649328875595,0.15782272147,0.142615223708,0.268938847247,0.370068588798
384.200738608,0.0489260514482,0.135110032462,0.146024871246,0.240801707694,0.354779605957
384.574889391,0.0626328976068,0.130105212158,0.141716510495,0.237948135684,0.370146689362
384.94900395,0.071476120783,0.109546187753,0.150178037097,0.245848605756,0.350613566792
385.323082269,0.0556203740104,0.1092861642,0.13513991211,0.232074098923,0.370142669962
385.697124331,0.0325058583151,0.113203065504,0.119760653896,0.240851544517,0.317886068474
386.07113012,0.0378029462171,0.12499148514,0.139189724917,0.244742425535,0.338522324763
386.44509962,0.0345235822613,0.098397971202,0.128328097911,0.217620962384,0.362115909719
386.819032814,0.0476581536732,0.110800340479,0.123980458118,0.247254359337,0.343535415708
387.192929686,0.0281206236855,0.113985548911,0.116442822729,0.221867503156,0.327562922631
387.566790219,0.0279102229343,0.0883544411338,0.111552593322,0.219640895084,0.342187453763
387.940614397,0.0387238631587,0.114684441857,0.121149839131,0.230907305864,0.333971607039
388.314402204,0,0.0794543013738,0.0961909617191,0.193263586886,0.310893618884
388.688153623,0.0156528003716,0.0814981863515,0.0947084900983,0.197554349633,0.311354551529
389.061868638,0.011776384573,0.0634803490589,0.102769441613,0.18912425415,0.310933883531
389.435547233,0,0.0729285866912,0.0896026585089,0.188171773804,0.286619942575
389.80918939,0.00358233407718,0.0668826046021,0.0937290940201,0.188374946509,0.311638334834
390.182795095,0.015051992656,0.0816011495158,0.104131429104,0.203060708575,0.290139335761
390.55636433,0.00323676403235,0.0679281428714,0.0901921341463,0.190594703405,0.29699951844
390.929897079,0,0.0572082324991,0.0730286199323,0.185074511962,0.306519129428
391.303393325,0.00444501605442,0.0633711850586,0.0956930617764,0.191227140655,0.301365151169
391.676853053,0.00425418945551,0.0536270499428,0.0795502235215,0.188098068407,0.282493140973
392.050276246,0.00645057139659,0.0571874062068,0.0936784898939,0.199003410645,0.309412707007
392.423662887,0,0.0444193669175,0.0692362169846,0.170291243168,0.287040606633
392.79701296,0,0.0499642723957,0.0737651665411,0.175424019964,0.276100657964
393.170326449,0,0.0392167074834,0.0665529257085,0.165345602293,0.269885336605
393.543603338,0,0.0272972122616,0.0644606322954,0.172963911806,0.270602722673
